id,name,name_short,name_export,code,code
1,みずほ,ﾐｽﾞﾎ,みずほ銀行,1,0001
2,三菱ＵＦＪ,ﾐﾂﾋﾞｼﾕ-ｴﾌｼﾞｴｲ,三菱ＵＦＪ銀行,5,0005
3,三井住友,ﾐﾂｲｽﾐﾄﾓ,三井住友銀行,9,0009
4,りそな,ﾘｿﾅ,りそな銀行,10,0010
5,埼玉りそな,ｻｲﾀﾏﾘｿﾅ,埼玉りそな銀行,17,0017
6,PayPay,ﾍﾟｲﾍﾟｲ,PayPay銀行,33,0033
7,セブン,ｾﾌﾞﾝ,セブン銀行,34,0034
8,ソニー,ｿﾆ-,ソニー銀行,35,0035
9,楽天,ﾗｸﾃﾝ,楽天銀行,36,0036
10,住信ＳＢＩネット,ｽﾐｼﾝｴｽﾋﾞ-ｱｲﾈﾂﾄ,住信ＳＢＩネット銀行,38,0038
11,じぶん,ｼﾞﾌﾞﾝ,じぶん銀行,39,0039
12,イオン,ｲｵﾝ,イオン銀行,40,0040
13,大和ネクスト,ﾀﾞｲﾜﾈｸｽﾄ,大和ネクスト銀行,41,0041
14,北海道,ﾎﾂｶｲﾄﾞｳ,北海道銀行,116,0116
15,青森,ｱｵﾓﾘ,青森銀行,117,0117
16,みちのく,ﾐﾁﾉｸ,みちのく銀行,118,0118
17,秋田,ｱｷﾀ,秋田銀行,119,0119
18,北都,ﾎｸﾄ,北都銀行,120,0120
19,荘内,ｼﾖｳﾅｲ,荘内銀行,121,0121
20,山形,ﾔﾏｶﾞﾀ,山形銀行,122,0122
21,岩手,ｲﾜﾃ,岩手銀行,123,0123
22,東北,ﾄｳﾎｸ,東北銀行,124,0124
23,七十七,ｼﾁｼﾞﾕｳｼﾁ,七十七銀行,125,0125
24,東邦,ﾄｳﾎｳ,東邦銀行,126,0126
25,群馬,ｸﾞﾝﾏ,群馬銀行,128,0128
26,足利,ｱｼｶｶﾞ,足利銀行,129,0129
27,常陽,ｼﾞﾖｳﾖｳ,常陽銀行,130,0130
28,筑波,ﾂｸﾊﾞ,筑波銀行,131,0131
29,武蔵野,ﾑｻｼﾉ,武蔵野銀行,133,0133
30,千葉,ﾁﾊﾞ,千葉銀行,134,0134
31,千葉興業,ﾁﾊﾞｺｳｷﾞﾖｳ,千葉興業銀行,135,0135
32,きらぼし銀行,ｷﾗﾎﾞｼ,きらぼし銀行,137,0137
