id,alpha2,alpha3,name,continent
352,is,isl,アイスランド,ヨーロッパ
372,ie,irl,アイルランド,ヨーロッパ
31,az,aze,アゼルバイジャン,アジア
4,af,afg,アフガニスタン,アジア
840,us,usa,アメリカ合衆国,北アメリカ
784,ae,are,アラブ首長国連邦,アジア
12,dz,dza,アルジェリア,アフリカ
32,ar,arg,アルゼンチン,南アメリカ
8,al,alb,アルバニア,ヨーロッパ
51,am,arm,アルメニア,アジア
24,ao,ago,アンゴラ,アフリカ
28,ag,atg,アンティグア・バーブーダ,北アメリカ
20,ad,and,アンドラ,ヨーロッパ
887,ye,yem,イエメン,アジア
826,gb,gbr,イギリス,ヨーロッパ
376,il,isr,イスラエル,アジア
380,it,ita,イタリア,ヨーロッパ
368,iq,irq,イラク,アジア
364,ir,irn,イラン・イスラム共和国,アジア
356,in,ind,インド,アジア
360,id,idn,インドネシア,アジア
800,ug,uga,ウガンダ,アフリカ
804,ua,ukr,ウクライナ,ヨーロッパ
860,uz,uzb,ウズベキスタン,アジア
858,uy,ury,ウルグアイ,南アメリカ
218,ec,ecu,エクアドル,南アメリカ
818,eg,egy,エジプト,アフリカ
233,ee,est,エストニア,ヨーロッパ
748,sz,swz,エスワティニ,アフリカ
231,et,eth,エチオピア,アフリカ
232,er,eri,エリトリア,アフリカ
222,sv,slv,エルサルバドル,北アメリカ
36,au,aus,オーストラリア,オセアニア
40,at,aut,オーストリア,ヨーロッパ
512,om,omn,オマーン,アジア
528,nl,nld,オランダ,ヨーロッパ
288,gh,gha,ガーナ,アフリカ
132,cv,cpv,カーボベルデ,アフリカ
328,gy,guy,ガイアナ,南アメリカ
398,kz,kaz,カザフスタン,アジア
634,qa,qat,カタール,アジア
124,ca,can,カナダ,北アメリカ
266,ga,gab,ガボン,アフリカ
120,cm,cmr,カメルーン,アフリカ
270,gm,gmb,ガンビア,アフリカ
116,kh,khm,カンボジア,アジア
807,mk,mkd,北マケドニア,ヨーロッパ
324,gn,gin,ギニア,アフリカ
624,gw,gnb,ギニアビサウ,アフリカ
196,cy,cyp,キプロス,アジア
192,cu,cub,キューバ,北アメリカ
300,gr,grc,ギリシャ,ヨーロッパ
296,ki,kir,キリバス,オセアニア
417,kg,kgz,キルギス,アジア
320,gt,gtm,グアテマラ,北アメリカ
414,kw,kwt,クウェート,アジア
308,gd,grd,グレナダ,北アメリカ
191,hr,hrv,クロアチア,ヨーロッパ
404,ke,ken,ケニア,アフリカ
384,ci,civ,コートジボワール,アフリカ
188,cr,cri,コスタリカ,北アメリカ
174,km,com,コモロ,アフリカ
170,co,col,コロンビア,南アメリカ
178,cg,cog,コンゴ共和国,アフリカ
180,cd,cod,コンゴ民主共和国,アフリカ
682,sa,sau,サウジアラビア,アジア
882,ws,wsm,サモア,オセアニア
678,st,stp,サントメ・プリンシペ,アフリカ
894,zm,zmb,ザンビア,アフリカ
674,sm,smr,サンマリノ,ヨーロッパ
694,sl,sle,シエラレオネ,アフリカ
262,dj,dji,ジブチ,アフリカ
